properties{
  x = 0,
  y = 0,
  width = 416,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  tileset = "diarandor/house",
}

tile{
  layer = 0,
  x = 296,
  y = 40,
  width = 80,
  height = 160,
  pattern = "ground_wood_mosaic_big_1",
}

tile{
  layer = 0,
  x = 288,
  y = 24,
  width = 96,
  height = 8,
  pattern = "wall_up_brown_2",
}

tile{
  layer = 0,
  x = 280,
  y = 32,
  width = 8,
  height = 40,
  pattern = "wall_up_brown_4",
}

tile{
  layer = 0,
  x = 384,
  y = 32,
  width = 8,
  height = 176,
  pattern = "wall_up_brown_0",
}

tile{
  layer = 0,
  x = 288,
  y = 208,
  width = 96,
  height = 8,
  pattern = "wall_up_brown_6",
}

tile{
  layer = 0,
  x = 280,
  y = 24,
  width = 8,
  height = 8,
  pattern = "wall_brown_3",
}

tile{
  layer = 0,
  x = 384,
  y = 24,
  width = 8,
  height = 8,
  pattern = "wall_brown_1",
}

tile{
  layer = 0,
  x = 280,
  y = 208,
  width = 8,
  height = 8,
  pattern = "wall_brown_5",
}

tile{
  layer = 0,
  x = 384,
  y = 208,
  width = 8,
  height = 8,
  pattern = "wall_brown_7",
}

tile{
  layer = 0,
  x = 296,
  y = 32,
  width = 80,
  height = 8,
  pattern = "wall_brown_2",
}

tile{
  layer = 0,
  x = 288,
  y = 40,
  width = 8,
  height = 40,
  pattern = "wall_brown_4",
}

tile{
  layer = 0,
  x = 376,
  y = 40,
  width = 8,
  height = 160,
  pattern = "wall_brown_0",
}

tile{
  layer = 0,
  x = 296,
  y = 200,
  width = 80,
  height = 8,
  pattern = "wall_brown_6",
}

tile{
  layer = 0,
  x = 288,
  y = 32,
  width = 8,
  height = 8,
  pattern = "wall_brown_3",
}

tile{
  layer = 0,
  x = 376,
  y = 32,
  width = 8,
  height = 8,
  pattern = "wall_brown_1",
}

tile{
  layer = 0,
  x = 288,
  y = 200,
  width = 8,
  height = 8,
  pattern = "wall_brown_5",
}

tile{
  layer = 0,
  x = 376,
  y = 200,
  width = 8,
  height = 8,
  pattern = "wall_brown_7",
}

tile{
  layer = 0,
  x = 40,
  y = 40,
  width = 192,
  height = 160,
  pattern = "ground_wood_mosaic_big_1",
}

tile{
  layer = 0,
  x = 32,
  y = 24,
  width = 208,
  height = 8,
  pattern = "wall_up_brown_2",
}

tile{
  layer = 0,
  x = 24,
  y = 32,
  width = 8,
  height = 176,
  pattern = "wall_up_brown_4",
}

tile{
  layer = 0,
  x = 240,
  y = 32,
  width = 8,
  height = 40,
  pattern = "wall_up_brown_0",
}

tile{
  layer = 0,
  x = 32,
  y = 208,
  width = 80,
  height = 8,
  pattern = "wall_up_brown_6",
}

tile{
  layer = 0,
  x = 24,
  y = 24,
  width = 8,
  height = 8,
  pattern = "wall_brown_3",
}

tile{
  layer = 0,
  x = 240,
  y = 24,
  width = 8,
  height = 8,
  pattern = "wall_brown_1",
}

tile{
  layer = 0,
  x = 24,
  y = 208,
  width = 8,
  height = 8,
  pattern = "wall_brown_5",
}

tile{
  layer = 0,
  x = 240,
  y = 208,
  width = 8,
  height = 8,
  pattern = "wall_brown_7",
}

tile{
  layer = 0,
  x = 40,
  y = 32,
  width = 192,
  height = 8,
  pattern = "wall_brown_2",
}

tile{
  layer = 0,
  x = 32,
  y = 40,
  width = 8,
  height = 160,
  pattern = "wall_brown_4",
}

tile{
  layer = 0,
  x = 232,
  y = 40,
  width = 8,
  height = 40,
  pattern = "wall_brown_0",
}

tile{
  layer = 0,
  x = 40,
  y = 200,
  width = 80,
  height = 8,
  pattern = "wall_brown_6",
}

tile{
  layer = 0,
  x = 32,
  y = 32,
  width = 8,
  height = 8,
  pattern = "wall_brown_3",
}

tile{
  layer = 0,
  x = 232,
  y = 32,
  width = 8,
  height = 8,
  pattern = "wall_brown_1",
}

tile{
  layer = 0,
  x = 32,
  y = 200,
  width = 8,
  height = 8,
  pattern = "wall_brown_5",
}

tile{
  layer = 0,
  x = 232,
  y = 200,
  width = 8,
  height = 8,
  pattern = "wall_brown_7",
}

tile{
  layer = 0,
  x = 120,
  y = 208,
  width = 8,
  height = 32,
  pattern = "wall_brown_4",
}

tile{
  layer = 0,
  x = 144,
  y = 208,
  width = 8,
  height = 32,
  pattern = "wall_brown_0",
}

tile{
  layer = 0,
  x = 128,
  y = 200,
  width = 16,
  height = 48,
  pattern = "ground_wood_mosaic_big_1",
}

tile{
  layer = 0,
  x = 160,
  y = 208,
  width = 80,
  height = 8,
  pattern = "wall_up_brown_6",
}

tile{
  layer = 0,
  x = 152,
  y = 200,
  width = 80,
  height = 8,
  pattern = "wall_brown_6",
}

tile{
  layer = 0,
  x = 240,
  y = 120,
  width = 8,
  height = 88,
  pattern = "wall_up_brown_0",
}

tile{
  layer = 0,
  x = 232,
  y = 112,
  width = 8,
  height = 88,
  pattern = "wall_brown_0",
}

tile{
  layer = 0,
  x = 240,
  y = 104,
  width = 48,
  height = 8,
  pattern = "wall_brown_6",
}

tile{
  layer = 0,
  x = 240,
  y = 80,
  width = 48,
  height = 8,
  pattern = "wall_brown_2",
}

tile{
  layer = 0,
  x = 280,
  y = 120,
  width = 8,
  height = 88,
  pattern = "wall_up_brown_4",
}

tile{
  layer = 0,
  x = 288,
  y = 112,
  width = 8,
  height = 88,
  pattern = "wall_brown_4",
}

tile{
  layer = 0,
  x = 232,
  y = 88,
  width = 64,
  height = 16,
  pattern = "ground_wood_mosaic_big_1",
}

tile{
  layer = 0,
  x = 248,
  y = 72,
  width = 32,
  height = 8,
  pattern = "wall_up_brown_2",
}

tile{
  layer = 0,
  x = 248,
  y = 112,
  width = 32,
  height = 8,
  pattern = "wall_up_brown_6",
}

tile{
  layer = 0,
  x = 152,
  y = 216,
  width = 8,
  height = 24,
  pattern = "wall_up_brown_0",
}

tile{
  layer = 0,
  x = 112,
  y = 216,
  width = 8,
  height = 24,
  pattern = "wall_up_brown_4",
}

tile{
  layer = 0,
  x = 24,
  y = 16,
  width = 224,
  height = 8,
  pattern = "wall_up_brown_2",
}

tile{
  layer = 0,
  x = 280,
  y = 16,
  width = 112,
  height = 8,
  pattern = "wall_up_brown_2",
}

tile{
